Time,Voltage,S,Current,S_in
0,0.0,1.0,1.510000000000001e-07,1.0
1,0.0,1.0,1.510000000000001e-07,1.0
2,0.0,1.0,1.510000000000001e-07,1.0
3,0.0,1.0,1.510000000000001e-07,1.0
4,0.0,1.0,1.510000000000001e-07,1.0
5,0.0,1.0,1.510000000000001e-07,1.0
6,0.0,1.0,1.510000000000001e-07,1.0
7,0.0,1.0,1.510000000000001e-07,1.0
8,0.0,1.0,1.510000000000001e-07,1.0
9,0.0,1.0,1.510000000000001e-07,1.0
10,0.0,1.0,1.510000000000001e-07,1.0
11,0.0,1.0,1.510000000000001e-07,1.0
12,0.0,1.0,1.510000000000001e-07,1.0
13,0.0,1.0,1.510000000000001e-07,1.0
14,0.0,1.0,1.510000000000001e-07,1.0
15,0.0,1.0,1.510000000000001e-07,1.0
16,0.0,1.0,1.510000000000001e-07,1.0
17,0.0,1.0,1.510000000000001e-07,1.0
18,0.0,1.0,1.510000000000001e-07,1.0
19,0.0,1.0,1.510000000000001e-07,1.0
20,0.0,1.0,1.510000000000001e-07,1.0
21,0.0,1.0,1.510000000000001e-07,1.0
22,0.0,1.0,1.510000000000001e-07,1.0
23,0.0,1.0,1.510000000000001e-07,1.0
24,0.0,1.0,1.510000000000001e-07,1.0
25,0.025000000000000112,1.0,1.2300000000000003e-06,1.0
26,0.049999999999999926,1.0,2.4817000000000007e-06,1.0
27,0.07500000000000004,1.0,3.7588000000000016e-06,1.0
28,0.09999999999999984,1.0,5.088300000000006e-06,1.0
29,0.12499999999999994,1.0,6.473800000000002e-06,1.0
30,0.15000000000000008,1.0,7.917500000000003e-06,1.0
31,0.17499999999999988,1.0,9.30830000000001e-06,1.0
32,0.2,1.0,1.0867000000000003e-05,1.0
33,0.2250000000000001,1.0,1.2338000000000005e-05,1.0
34,0.2499999999999999,1.0,1.3775000000000006e-05,1.0
35,0.275,1.0,1.5642000000000007e-05,1.0
36,0.30000000000000016,1.0,1.735000000000001e-05,1.0
37,0.325,1.0,1.9382999999999987e-05,1.0
38,0.3500000000000001,1.0,2.5024999999999968e-05,1.0
39,0.3749999999999999,1.0,2.5336999999999985e-05,1.0
40,0.4,1.0,2.9699999999999993e-05,1.0
41,0.4250000000000001,1.0,3.280000000000001e-05,1.0
42,0.4499999999999999,1.0,3.512499999999998e-05,1.0
43,0.475,1.0,3.7720999999999966e-05,1.0
44,0.4999999999999998,1.0,4.019999999999998e-05,1.0
45,0.5249999999999999,1.0,4.479999999999996e-05,1.0
46,0.55,1.0,5.145000000000005e-05,1.0
47,0.5749999999999998,1.0,3.1491999999999976e-05,1.0
48,0.6,1.0,2.9699999999999993e-05,1.0
49,0.6249999999999998,1.0,3.061699999999997e-05,1.0
50,0.6499999999999999,1.0,3.350000000000003e-05,1.0
51,0.675,1.0,3.5974999999999994e-05,1.0
52,0.7000000000000002,1.0,0.00014691999999999998,1.0
53,0.725,1.0,0.0007063700000000003,1.0
54,0.7500000000000001,1.0,0.0007782500000000003,1.0
55,0.7749999999999999,1.0,0.0008492499999999999,1.0
56,0.8,1.0,0.0009199999999999996,1.0
57,0.8250000000000001,0.0,0.001,1.0
58,0.85,0.0,0.001,0.0
59,0.875,0.0,0.001,0.0
60,0.8999999999999998,0.0,0.001,0.0
61,0.925,0.0,0.001,0.0
62,0.95,0.0,0.001,0.0
63,0.9750000000000002,0.0,0.001,0.0
64,1.0,0.0,0.001,0.0
65,1.025,0.0,0.001,0.0
66,1.0499999999999998,0.0,0.001,0.0
67,1.075,0.0,0.001,0.0
68,1.1,0.0,0.001,0.0
69,1.125,0.0,0.001,0.0
70,1.1499999999999997,0.0,0.001,0.0
71,1.1749999999999998,0.0,0.001,0.0
72,1.2,0.0,0.001,0.0
73,1.2,0.0,0.001,0.0
74,1.2,0.0,0.001,0.0
75,1.2,0.0,0.001,0.0
76,1.2,0.0,0.001,0.0
77,1.2,0.0,0.001,0.0
78,1.2,0.0,0.001,0.0
79,1.2,0.0,0.001,0.0
80,1.2,0.0,0.001,0.0
81,1.2,0.0,0.001,0.0
82,1.2,0.0,0.001,0.0
83,1.2,0.0,0.001,0.0
84,1.2,0.0,0.001,0.0
85,1.2,0.0,0.001,0.0
86,1.2,0.0,0.001,0.0
87,1.2,0.0,0.001,0.0
88,1.2,0.0,0.001,0.0
89,1.2,0.0,0.001,0.0
90,1.2,0.0,0.001,0.0
91,1.2,0.0,0.001,0.0
92,1.2,0.0,0.001,0.0
93,1.2,0.0,0.001,0.0
94,1.2,0.0,0.001,0.0
95,1.2,0.0,0.001,0.0
96,1.2,0.0,0.001,0.0
97,1.2,0.0,0.001,0.0
98,1.1749999999999998,0.0,0.001,0.0
99,1.1499999999999997,0.0,0.001,0.0
100,1.125,0.0,0.001,0.0
101,1.1,0.0,0.001,0.0
102,1.075,0.0,0.001,0.0
103,1.0499999999999998,0.0,0.001,0.0
104,1.025,0.0,0.001,0.0
105,1.0,0.0,0.001,0.0
106,0.9750000000000002,0.0,0.001,0.0
107,0.95,0.0,0.001,0.0
108,0.925,0.0,0.001,0.0
109,0.8999999999999998,0.0,0.001,0.0
110,0.875,0.0,0.001,0.0
111,0.85,0.0,0.001,0.0
112,0.8250000000000001,0.0,0.001,0.0
113,0.8,0.0,0.001,0.0
114,0.7749999999999999,0.0,0.00098583,0.0
115,0.7500000000000001,0.0,0.0009552500000000002,0.0
116,0.725,0.0,0.0009224600000000004,0.0
117,0.7000000000000002,0.0,0.0008876699999999998,0.0
118,0.675,0.0,0.00085312,0.0
119,0.6499999999999999,0.0,0.0008215000000000001,0.0
120,0.6249999999999998,0.0,0.0007873699999999999,0.0
121,0.6,0.0,0.0007539999999999996,0.0
122,0.5749999999999998,0.0,0.0007196699999999999,0.0
123,0.55,0.0,0.0006864199999999998,0.0
124,0.5249999999999999,0.0,0.0006541200000000003,0.0
125,0.4999999999999998,0.0,0.0006216700000000001,0.0
126,0.475,0.0,0.0005887499999999998,0.0
127,0.4499999999999999,0.0,0.000557,0.0
128,0.4250000000000001,0.0,0.0005242500000000002,0.0
129,0.4,0.0,0.0004926700000000002,0.0
130,0.3749999999999999,0.0,0.00046038,0.0
131,0.3500000000000001,0.0,0.00042849999999999984,0.0
132,0.325,0.0,0.0003972499999999998,0.0
133,0.30000000000000016,0.0,0.00036599999999999984,0.0
134,0.275,0.0,0.0003347499999999999,0.0
135,0.2499999999999999,0.0,0.00030349999999999984,0.0
136,0.2250000000000001,0.0,0.0002728799999999999,0.0
137,0.2,0.0,0.0002419999999999999,0.0
138,0.17499999999999988,0.0,0.00021146000000000007,0.0
139,0.15000000000000008,0.0,0.00018050000000000008,0.0
140,0.12499999999999994,0.0,0.00015003999999999994,0.0
141,0.09999999999999984,0.0,0.00011982999999999997,0.0
142,0.07500000000000004,0.0,8.997499999999991e-05,0.0
143,0.049999999999999926,0.0,6.000000000000002e-05,0.0
144,0.025000000000000112,0.0,3.000000000000001e-05,0.0
145,0.0,0.0,8.989999999999998e-08,0.0
146,0.0,0.0,8.989999999999998e-08,0.0
147,0.0,0.0,8.989999999999998e-08,0.0
148,0.0,0.0,8.989999999999998e-08,0.0
149,0.0,0.0,8.989999999999998e-08,0.0
150,0.0,0.0,8.989999999999998e-08,0.0
151,0.0,0.0,8.989999999999998e-08,0.0
152,0.0,0.0,8.989999999999998e-08,0.0
153,0.0,0.0,8.989999999999998e-08,0.0
154,0.0,0.0,8.989999999999998e-08,0.0
155,0.0,0.0,8.989999999999998e-08,0.0
156,0.0,0.0,8.989999999999998e-08,0.0
157,0.0,0.0,8.989999999999998e-08,0.0
158,0.0,0.0,8.989999999999998e-08,0.0
159,0.0,0.0,8.989999999999998e-08,0.0
160,0.0,0.0,8.989999999999998e-08,0.0
161,0.0,0.0,8.989999999999998e-08,0.0
162,0.0,0.0,8.989999999999998e-08,0.0
163,0.0,0.0,8.989999999999998e-08,0.0
164,0.0,0.0,8.989999999999998e-08,0.0
